Designator,Mid X,Mid Y,Rotation,Layer
C1,147.650002,-90.28,90,bottom
C10,148.35,-91.7,90,bottom
C11,150.3,-91.7,90,bottom
C12,145.725,-89.775,180,bottom
C14,146.355002,-91.600003,180,bottom
C16,152.55,-90.825,180,top
C2,146.575,-93.4,180,bottom
C3,149.8,-97.85,90,bottom
C4,150.725,-97.85,90,bottom
C5,150.7,-92.104999,270,top
C7,144.08,-100.375007,180,top
C8,147.925,-94.125,180,bottom
C9,147.65,-91.7,90,bottom
J1,141.65,-94.8,90,bottom
L1,150.75,-96.025,270,top
L2,150.725,-98,270,top
L3,150.7,-94.05,270,top
L4,152.55,-89.8,0,top
R1,143.325,-92.575,270,top
R10,143.375,-96.75,90,top
R2,149.6,-91.7,90,bottom
R3,141.05,-92.5,90,top
R5,144.080002,-99.550003,180,top
R7,146.3,-99.625,0,bottom
R8,146.35,-90.9,0,bottom
R9,143.2,-95.125,270,top
U1,147,-96.225,0,top
U3,147.575,-96.86,270,bottom
X1,146.9,-90.949998,90,top
